row_idx,col_idx,x_range,y_range,count,median_area_pct,p25_area_pct,p75_area_pct,iqr_area_pct,median_width_px,median_height_px
3,5,0.417-0.500,0.375-0.500,209,0.017377902362606175,0.006862894951368977,0.05493706553542136,0.04807417058405238,69.4267515923566,20.0
3,6,0.500-0.583,0.375-0.500,199,0.0186611312883145,0.006347738623542026,0.051039425994448454,0.044691687370906424,69.0,18.0
3,7,0.583-0.667,0.375-0.500,169,0.01878375771604938,0.006904529832075975,0.05107720017231801,0.04417267034024203,69.0,20.171673819742523
3,8,0.667-0.750,0.375-0.500,158,0.025078083124456974,0.011903150337593213,0.0566915446303636,0.044788394292770387,80.46242774566463,25.81423811790313
3,9,0.750-0.833,0.375-0.500,67,0.037453087332895096,0.01896799950227645,0.0809827667311131,0.06201476722883665,116.0,29.12087912087918
3,10,0.833-0.917,0.375-0.500,40,0.01888237756837423,0.00975669438728858,0.05629708473448883,0.04654039034720025,63.14566929133866,24.08791208791206
3,11,0.917-1.000,0.375-0.500,17,0.03978587962962963,0.019143308064930753,0.06317942288221991,0.044036114817289154,110.0,32.85714285714289
4,0,0.000-0.083,0.500-0.625,50,0.04958348051125604,0.01650645147462273,0.1137062355324074,0.09719978405778468,94.31915807560136,33.10169491525426
4,1,0.083-0.167,0.500-0.625,79,0.025318287037037035,0.012536897847339898,0.09872258081404743,0.08618568296670753,83.9622641509435,24.390243902439124
4,2,0.167-0.250,0.500-0.625,83,0.022488283252434894,0.011634339781316436,0.050867383117601986,0.03923304333628555,78.0,21.0
4,3,0.250-0.333,0.500-0.625,174,0.03142236082533145,0.01099343181688987,0.08270914276466931,0.07171571094777944,97.79577464788736,26.401991614255735
4,4,0.333-0.417,0.500-0.625,251,0.028030960648148147,0.012936834503802558,0.07282097026176823,0.059884135757965674,84.05797101449275,29.120879120878953
4,5,0.417-0.500,0.500-0.625,249,0.02700617283950617,0.010235960160974255,0.076171875,0.06593591483902575,82.97872340425533,24.84848484848476
4,6,0.500-0.583,0.500-0.625,296,0.01615413803349576,0.006860764355412953,0.042913480250293595,0.03605271589488064,69.95762711864427,19.208737864077648
4,7,0.583-0.667,0.500-0.625,236,0.020954065792151366,0.007821397536368145,0.0595693410190925,0.05174794348272436,76.0434782608695,22.691505044046494
4,8,0.667-0.750,0.500-0.625,206,0.02777523190110922,0.012231702728163846,0.07827916470193196,0.06604746197376811,82.0,27.29384395132422
4,9,0.750-0.833,0.500-0.625,130,0.05234251253813728,0.015054663357707276,0.1832221959175083,0.16816753255980102,97.64358561460017,37.359649122807014
4,10,0.833-0.917,0.500-0.625,100,0.04800053448957391,0.015717282998018584,0.429678238623855,0.41396095562583646,130.2777777777776,33.428571428571445
4,11,0.917-1.000,0.500-0.625,68,0.08058916564310892,0.029393307452235187,0.22607501032703586,0.1966817028748007,132.75423728813576,48.16666666666663
5,0,0.000-0.083,0.625-0.750,61,0.06376591435185185,0.025519618281611697,0.17746913580246915,0.15194951752085745,112.19512195121948,44.715447154471576
5,1,0.083-0.167,0.625-0.750,90,0.0439453125,0.02393635179513725,0.16068426792013119,0.13674791612499393,110.0,31.690165746448884
5,2,0.167-0.250,0.625-0.750,126,0.06072037285904858,0.02090990480155518,0.18295565772176509,0.1620457529202099,124.69512195121956,39.20916481892084
5,3,0.250-0.333,0.625-0.750,205,0.062065972222222224,0.023620559334844866,0.12839988425925927,0.10477932492441441,108.0,44.0
5,4,0.333-0.417,0.625-0.750,175,0.05213155864197531,0.01276871496010316,0.1297995709870421,0.11703085602693893,100.0,37.0
5,5,0.417-0.500,0.625-0.750,177,0.04088106175777215,0.011986241495933001,0.11330714877686357,0.10132090728093057,90.90909090909076,35.05154639175248
5,6,0.500-0.583,0.625-0.750,213,0.037438446030801736,0.01525125385802469,0.10880799423085366,0.09355674037282898,85.10638297872333,34.0
5,7,0.583-0.667,0.625-0.750,217,0.02885822990543727,0.00690531337901452,0.07455767795100171,0.06765236457198719,76.0,28.888888888888914
5,8,0.667-0.750,0.625-0.750,170,0.045699701778974075,0.017753251465590363,0.12746427373945513,0.10971102227386476,98.3398415601805,38.3316012942181
5,9,0.750-0.833,0.625-0.750,166,0.04958868423593811,0.018527251398585822,0.14812269590192018,0.12959544450333435,104.93902439024373,36.62601626016249
5,10,0.833-0.917,0.625-0.750,100,0.056005121864421574,0.021207079475308643,0.18472545444166302,0.16351837496635438,99.25797503467402,45.30219780219784
5,11,0.917-1.000,0.625-0.750,78,0.07710936606938713,0.035551094714506175,0.2938096788194444,0.25825858410493824,131.0027100271002,56.49128268991285
6,0,0.000-0.083,0.750-0.875,59,0.12659143518518517,0.05724127485753351,0.28121383101851855,0.22397255616098505,150.0,63.63636363636351
6,1,0.083-0.167,0.750-0.875,90,0.06736936990218784,0.03617500964506173,0.2944761774440954,0.25830116779903367,128.66161616161617,49.39024390243901
6,2,0.167-0.250,0.750-0.875,99,0.10230668051507014,0.03548430259031596,0.27545939619798254,0.23997509360766658,148.4375,54.166666666666515
6,3,0.250-0.333,0.750-0.875,135,0.10026041666666666,0.02869264847269829,0.23168251595262584,0.20298986747992756,132.09876543209884,60.252336448598044
6,4,0.333-0.417,0.750-0.875,108,0.07874237780197457,0.02523992091049383,0.23086631961397025,0.20562639870347643,122.5,52.10294117647061
6,5,0.417-0.500,0.750-0.875,146,0.06481125727032727,0.017840682326353625,0.18967450640134503,0.1718338240749914,102.03658536585363,51.92592592592587
6,6,0.500-0.583,0.750-0.875,140,0.04877641887622648,0.009753785270671084,0.13210117669753074,0.12234739142685966,97.5229885057471,39.01219512195121
6,7,0.583-0.667,0.750-0.875,130,0.04835698863528064,0.011720817162736746,0.11407093942901234,0.10235012226627559,91.82758620689651,37.0
6,8,0.667-0.750,0.750-0.875,107,0.05030629736949752,0.017767666623119203,0.12345788226253784,0.10569021563941863,94.0,41.0
6,9,0.750-0.833,0.750-0.875,100,0.07069340458622686,0.016252953007957992,0.17717632513214202,0.16092337212418403,116.21917808219177,48.24242424242425
6,10,0.833-0.917,0.750-0.875,94,0.08483434606481481,0.024472466853026627,0.21305430703358533,0.1885818401805587,134.5,52.0
6,11,0.917-1.000,0.750-0.875,53,0.11127989969135803,0.04428384171183612,0.345218464094367,0.3009346223825309,148.0,62.14285714285711
7,0,0.000-0.083,0.875-1.000,62,0.19004305666805105,0.04578396441011907,0.7398178507715576,0.6940338863614385,175.63235294117646,76.39743589743591
7,1,0.083-0.167,0.875-1.000,94,0.3079788773148149,0.12129511225204499,1.0423335062792678,0.9210383940272228,237.3888888888889,102.84090909090901
7,2,0.167-0.250,0.875-1.000,94,0.24899157051042856,0.06377652605992948,0.7226755903581532,0.6588990642982238,199.4252873563218,89.44444444444446
7,3,0.250-0.333,0.875-1.000,87,0.16739363330272367,0.06574181241426608,0.49359874652640084,0.42785693411213477,169.69696969696975,78.0
7,4,0.333-0.417,0.875-1.000,85,0.22545331790123488,0.07814286122542313,0.6077651181322101,0.529622256906787,173.17073170731692,95.27586206896558
7,5,0.417-0.500,0.875-1.000,84,0.18227763491802096,0.07463541843802787,0.6447841318205838,0.5701487133825559,177.34067663257292,81.38528138528136
7,6,0.500-0.583,0.875-1.000,100,0.08863811728395063,0.03901168407560458,0.2270474509090665,0.1880357668334619,116.65869218500791,59.848484848484986
7,7,0.583-0.667,0.875-1.000,85,0.08737611657932177,0.027612646976740592,0.34513207656229333,0.31751942958555274,107.5,59.0
7,8,0.667-0.750,0.875-1.000,104,0.11778428819444445,0.01697478060762846,0.36985325239410366,0.3528784717864752,127.18022328548659,59.5322580645161
7,9,0.750-0.833,0.875-1.000,83,0.16318665045516859,0.05351403660398431,1.6216034787349773,1.568089442130993,175.8620689655172,79.0
7,10,0.833-0.917,0.875-1.000,75,0.26915750385802467,0.06308820409308716,2.0161765070394613,1.9530883029463741,272.4137931034479,115.0
7,11,0.917-1.000,0.875-1.000,64,0.2892344263617439,0.12314639032631897,0.8094527729766626,0.6863063826503437,199.5,135.57168156059288
